"","date","region","hosp_dd_pred","icu_pred"
"1",2020-03-01,"ARA",8,0
"2",2020-03-02,"ARA",11,1
"3",2020-03-03,"ARA",4,1
"4",2020-03-04,"ARA",10,2
"5",2020-03-05,"ARA",14,1
"6",2020-03-06,"ARA",16,2
"7",2020-03-07,"ARA",10,0
"8",2020-03-08,"ARA",7,2
"9",2020-03-09,"ARA",17,0
"10",2020-03-10,"ARA",18,2
"11",2020-03-11,"ARA",30,3
"12",2020-03-12,"ARA",26,3
"13",2020-03-13,"ARA",46,7
"14",2020-03-14,"ARA",26,6
"15",2020-03-15,"ARA",44,11
"16",2020-03-16,"ARA",110,23
"17",2020-03-17,"ARA",86,17
"18",2020-03-18,"ARA",213,14
"19",2020-03-19,"ARA",137,20
"20",2020-03-20,"ARA",185,21
"21",2020-03-21,"ARA",152,32
"22",2020-03-22,"ARA",189,46
"23",2020-03-23,"ARA",261,53
"24",2020-03-24,"ARA",259,60
"25",2020-03-25,"ARA",328,80
"26",2020-03-26,"ARA",363,82
"27",2020-03-27,"ARA",404,80
"28",2020-03-28,"ARA",265,68
"29",2020-03-29,"ARA",255,65
"30",2020-03-30,"ARA",359,82
"31",2020-03-31,"ARA",319.028614998206,65
"32",2020-04-01,"ARA",243.04508767047,57
"33",2020-04-02,"ARA",291.027229344063,39
"34",2020-04-03,"ARA",262.049004021322,61.0304239401496
"35",2020-04-04,"ARA",197.071662422699,37.0448213204119
"36",2020-04-05,"ARA",160,32
"37",2020-04-06,"ARA",228.106303618053,36.0646609788954
"38",2020-04-07,"ARA",203.164003590664,32.0297674418605
"39",2020-04-08,"ARA",177.164330145762,34.0633147113594
"40",2020-04-09,"ARA",209.195729537367,27.0401188707281
"41",2020-04-10,"ARA",212.218270310745,32.0319361277445
"42",2020-04-11,"ARA",110.053359204463,18.0218049666869
"43",2020-04-12,"ARA",95.0145482388974,16.021650879567
"44",2020-04-13,"ARA",116.260065390005,12.054029716344
"45",2020-04-14,"ARA",166.358112359551,24.0783216783217
"46",2020-04-15,"ARA",170.633088166837,26.0848484848485
"47",2020-04-16,"ARA",136.293295827473,25.124254473161
"48",2020-04-17,"ARA",147.468811556139,15.045
"49",2020-04-18,"ARA",97.1412964311726,14.0339599757429
"50",2020-04-19,"ARA",57.0961656441718,11.044776119403
"51",2020-04-20,"ARA",129.701152656733,20.1900452488688
"52",2020-04-21,"ARA",114.761715575621,10.1032863849765
"53",2020-04-22,"ARA",99.6842252731858,8.0561534861956
"54",2020-04-23,"ARA",101.723332076894,11.1377065598398
"55",2020-04-24,"ARA",88.7719298245614,6.06653225806452
"56",2020-04-25,"ARA",52.3553819868196,5.04886988393403
"57",2020-04-26,"ARA",45.305225836288,7.0668485675307
"58",2020-04-27,"ARA",73.1245740249905,7.12454379562044
"59",2020-04-28,"ARA",85.6909140818007,11.2777513101477
"60",2020-04-29,"ARA",59.5635359116022,9.23605150214592
"61",2020-04-30,"ARA",71.952298518946,12.4558521560575
"62",2020-05-01,"ARA",51.8218819653067,5.18078512396694
"63",2020-05-02,"ARA",39.2218190917052,7.25454545454545
"64",2020-05-03,"ARA",45.7950597609562,6.29787234042553
"65",2020-05-04,"ARA",47.4257584890496,3.25693430656934
"66",2020-05-05,"ARA",50.3113718411552,8.98538622129436
"67",2020-05-06,"ARA",35.4517518993083,7.17732073374097
"68",2020-05-07,"ARA",46.5056721056721,1.59841897233202
"70",2020-03-01,"BFC",2,0
"71",2020-03-02,"BFC",3,0
"72",2020-03-03,"BFC",2,0
"73",2020-03-04,"BFC",4,0
"74",2020-03-05,"BFC",7,2
"75",2020-03-06,"BFC",13,0
"76",2020-03-07,"BFC",5,0
"77",2020-03-08,"BFC",6,1
"78",2020-03-09,"BFC",13,2
"79",2020-03-10,"BFC",19,2
"80",2020-03-11,"BFC",14,2
"81",2020-03-12,"BFC",18,3
"82",2020-03-13,"BFC",24,0
"83",2020-03-14,"BFC",17,6
"84",2020-03-15,"BFC",24,2
"85",2020-03-16,"BFC",104,21
"86",2020-03-17,"BFC",53,19
"87",2020-03-18,"BFC",77,12
"88",2020-03-19,"BFC",68,10
"89",2020-03-20,"BFC",92,19
"90",2020-03-21,"BFC",114,23
"91",2020-03-22,"BFC",81,7
"92",2020-03-23,"BFC",156,30
"93",2020-03-24,"BFC",126,25
"94",2020-03-25,"BFC",152,32
"95",2020-03-26,"BFC",144,26
"96",2020-03-27,"BFC",184,34
"97",2020-03-28,"BFC",161,33
"98",2020-03-29,"BFC",122,32
"99",2020-03-30,"BFC",147,28
"100",2020-03-31,"BFC",152.013634732687,29
"101",2020-04-01,"BFC",115.021337786437,20
"102",2020-04-02,"BFC",116.010854308974,20
"103",2020-04-03,"BFC",141.026372393154,26.0129675810474
"104",2020-04-04,"BFC",89.0323754092397,17.0205935796487
"105",2020-04-05,"BFC",69,10
"106",2020-04-06,"BFC",110.051286833271,17.030534351145
"107",2020-04-07,"BFC",89.0719030520646,11.0102325581395
"108",2020-04-08,"BFC",88.0817008634296,9.01675977653631
"109",2020-04-09,"BFC",86.080539426859,10.0148588410104
