"","date","region","hosp_pred","icu_pred"
"1",2020-03-01,"ARA",8,0
"2",2020-03-02,"ARA",18,1
"3",2020-03-03,"ARA",22,2
"4",2020-03-04,"ARA",32,4
"5",2020-03-05,"ARA",46,5
"6",2020-03-06,"ARA",52,7
"7",2020-03-07,"ARA",57,7
"8",2020-03-08,"ARA",62,9
"9",2020-03-09,"ARA",57,9
"10",2020-03-10,"ARA",67,11
"11",2020-03-11,"ARA",95,14
"12",2020-03-12,"ARA",116,17
"13",2020-03-13,"ARA",147,23
"14",2020-03-14,"ARA",162,28
"15",2020-03-15,"ARA",195,39
"16",2020-03-16,"ARA",288,60
"17",2020-03-17,"ARA",350,74
"18",2020-03-18,"ARA",481,84
"19",2020-03-19,"ARA",577,95
"20",2020-03-20,"ARA",713,103
"21",2020-03-21,"ARA",821,130
"22",2020-03-22,"ARA",982,172
"23",2020-03-23,"ARA",1151,214
"24",2020-03-24,"ARA",1316,263
"25",2020-03-25,"ARA",1536,329
"26",2020-03-26,"ARA",1774,392
"27",2020-03-27,"ARA",2021,452
"28",2020-03-28,"ARA",2171,497
"29",2020-03-29,"ARA",2344,547
"30",2020-03-30,"ARA",2502.91968554127,607
"31",2020-03-31,"ARA",2609.86836605305,646.98654467169
"32",2020-04-01,"ARA",2598.83813661671,676.98654467169
"33",2020-04-02,"ARA",2675.77859875189,691.98654467169
"34",2020-04-03,"ARA",2695.68303633742,711.994959326372
"35",2020-04-04,"ARA",2748.66617963079,719.98790229258
"36",2020-04-05,"ARA",2834.55866903116,720.95478263446
"37",2020-04-06,"ARA",2772.02920574879,704.990971333611
"38",2020-04-07,"ARA",2722.47315623481,692.823787787319
"39",2020-04-08,"ARA",2641.83095854765,681.839100197427
"40",2020-04-09,"ARA",2629.66251607228,664.831712029011
"41",2020-04-10,"ARA",2589.89775034354,649.75928843819
"42",2020-04-11,"ARA",2591.43481492493,646.705824587673
"43",2020-04-12,"ARA",2622.07774463411,640.605438089273
"44",2020-04-13,"ARA",2635.61182476558,626.555660826391
"45",2020-04-14,"ARA",2533.92430675008,602.295954335699
"46",2020-04-15,"ARA",2454.45822214358,583.012353038888
"47",2020-04-16,"ARA",2391.28871102925,563.895541605683
"48",2020-04-17,"ARA",2279.42088890954,535.679839019476
"49",2020-04-18,"ARA",2310.77868861743,540.653331626011
"50",2020-04-19,"ARA",2328.26610109281,542.594303436567
"51",2020-04-20,"ARA",2220.71739559643,521.509407196904
"52",2020-04-21,"ARA",2146.31825892936,488.877061397972
"53",2020-04-22,"ARA",2066.09816077434,456.384367463751
"54",2020-04-23,"ARA",1998.81144066468,439.057729081634
"55",2020-04-24,"ARA",1926.45724840169,416.581310748065
"56",2020-04-25,"ARA",1925.35069267225,415.515530950471
"57",2020-04-26,"ARA",1939.53609416726,408.182818595938
"58",2020-04-27,"ARA",1815.52206324865,373.349418466325
"59",2020-04-28,"ARA",1736.88892131634,364.949732450567
"60",2020-04-29,"ARA",1656.70126502392,350.392303050811
"61",2020-04-30,"ARA",1555.12798993808,334.596040497462
"62",2020-05-01,"ARA",1571.68845975232,325.051191818612
"63",2020-05-02,"ARA",1578.89003849942,325.995878118228
"64",2020-05-03,"ARA",1599.90727045252,322.7864223865
"65",2020-05-04,"ARA",1487.62362368343,300.999229906245
"66",2020-05-05,"ARA",1404.15938561743,282.130571179782
"67",2020-05-06,"ARA",1299.1310451913,264.081640569318
"68",2020-05-07,"ARA",1233.13806625697,239.916693079369
"70",2020-03-01,"BFC",2,0
"71",2020-03-02,"BFC",5,0
"72",2020-03-03,"BFC",7,0
"73",2020-03-04,"BFC",11,0
"74",2020-03-05,"BFC",18,2
"75",2020-03-06,"BFC",28,2
"76",2020-03-07,"BFC",32,2
"77",2020-03-08,"BFC",36,3
"78",2020-03-09,"BFC",48,5
"79",2020-03-10,"BFC",64,6
"80",2020-03-11,"BFC",74,8
"81",2020-03-12,"BFC",88,11
"82",2020-03-13,"BFC",107,10
"83",2020-03-14,"BFC",121,16
"84",2020-03-15,"BFC",143,17
"85",2020-03-16,"BFC",222,36
"86",2020-03-17,"BFC",246,50
"87",2020-03-18,"BFC",298,61
"88",2020-03-19,"BFC",346,70
"89",2020-03-20,"BFC",401,86
"90",2020-03-21,"BFC",475,106
"91",2020-03-22,"BFC",516,107
"92",2020-03-23,"BFC",604,133
"93",2020-03-24,"BFC",674,154
"94",2020-03-25,"BFC",772,180
"95",2020-03-26,"BFC",848,199
"96",2020-03-27,"BFC",938,225
"97",2020-03-28,"BFC",1030,251
"98",2020-03-29,"BFC",1101,273
"99",2020-03-30,"BFC",1132.95368107936,284
"100",2020-03-31,"BFC",1205.93730983763,301.994079655544
"101",2020-04-01,"BFC",1212.92676951853,311.994079655544
"102",2020-04-02,"BFC",1210.88895771238,319.994079655544
"103",2020-04-03,"BFC",1224.83764434868,329.998435593138
"104",2020-04-04,"BFC",1259.83645702804,334.997562267599
"105",2020-04-05,"BFC",1286.77437344234,329.981536626573
"106",2020-04-06,"BFC",1255.51583242502,325.000731764793
"107",2020-04-07,"BFC",1219.22424853959,319.938420757544
"108",2020-04-08,"BFC",1195.96531706272,314.940004382319
"109",2020-04-09,"BFC",1190.89326121684,309.938532248914
"110",2020-04-10,"BFC",1164.49374930074,301.907566804601
"111",2020-04-11,"BFC",1167.22824001645,296.87303576118
"112",2020-04-12,"BFC",1178.98095736648,296.836931119134
