"logLik.1","logLik.2","logLik.3","logLik.4","logLik.5","logLik.6","logLik.7","logLik.8","logLik.9","logLik.10","logLik.11","logLik.12","logLik.13","parameters_others.1","parameters_others.2","parameters_others.3","parameters_others.4","parameters_log_inf.1","parameters_log_inf.2","parameters_log_inf.3","parameters_log_inf.4","parameters_log_inf.5","parameters_log_inf.6","parameters_log_inf.7","parameters_log_inf.8","parameters_log_inf.9","parameters_log_inf.10","parameters_log_inf.11","parameters_log_inf.12","parameters_log_inf.13","parameters_g_out_ICU.1","parameters_g_out_ICU.2","parameters_g_out_ICU.3","parameters_g_out_ICU.4","parameters_g_out_ICU.5","parameters_g_out_ICU.6","parameters_g_out_ICU.7","parameters_g_out_ICU.8","parameters_g_out_ICU.9","parameters_g_out_ICU.10","parameters_g_out_ICU.11","parameters_g_out_ICU.12","parameters_g_out_ICU.13","parameters_g_out_hosp.1","parameters_g_out_hosp.2","parameters_g_out_hosp.3","parameters_g_out_hosp.4","parameters_g_out_hosp.5","parameters_g_out_hosp.6","parameters_g_out_hosp.7","parameters_g_out_hosp.8","parameters_g_out_hosp.9","parameters_g_out_hosp.10","parameters_g_out_hosp.11","parameters_g_out_hosp.12","parameters_g_out_hosp.13","accept_others.1","accept_others.2","accept_others.3","accept_others.4","accept_log_inf.1","accept_log_inf.2","accept_log_inf.3","accept_log_inf.4","accept_log_inf.5","accept_log_inf.6","accept_log_inf.7","accept_log_inf.8","accept_log_inf.9","accept_log_inf.10","accept_log_inf.11","accept_log_inf.12","accept_log_inf.13","accept_g_out_ICU.1","accept_g_out_ICU.2","accept_g_out_ICU.3","accept_g_out_ICU.4","accept_g_out_ICU.5","accept_g_out_ICU.6","accept_g_out_ICU.7","accept_g_out_ICU.8","accept_g_out_ICU.9","accept_g_out_ICU.10","accept_g_out_ICU.11","accept_g_out_ICU.12","accept_g_out_ICU.13","accept_g_out_hosp.1","accept_g_out_hosp.2","accept_g_out_hosp.3","accept_g_out_hosp.4","accept_g_out_hosp.5","accept_g_out_hosp.6","accept_g_out_hosp.7","accept_g_out_hosp.8","accept_g_out_hosp.9","accept_g_out_hosp.10","accept_g_out_hosp.11","accept_g_out_hosp.12","accept_g_out_hosp.13"
-109181.302932526,-33254.2168267513,-80281.5077177808,-79162.3912924227,-69204.7465612554,-118492.860189719,-86822.9916488834,-269311.313130592,-178630.286516373,-19798.9636864229,-133295.826966097,-34905.8103893653,-163094.571503432,2.5310173262842,0.89146638114471,1.26477591414005,1.29412038763985,11.2128775488455,9.99402289816472,10.3203708594886,10.5908917038687,10.3467612283637,9.63912224503836,11.1154378417416,10.7495419185003,11.0391452355467,9.45888975582929,10.876746407965,10.157334742803,11.1006390709561,0.137212389963679,0.15728533633519,0.190820778999478,0.120168193103746,0.18983896849677,0.194467526860535,0.166079779248685,0.162911404389888,0.106178627046756,0.12059745748993,0.1176556752529,0.168702284665778,0.138410371821374,0.176984141999856,0.149769924208522,0.171761850826442,0.199190609483048,0.138003517943434,0.177744522131979,0.193470523110591,0.121214252128266,0.165167376608588,0.112555509596132,0.126722066872753,0.138611409254372,0.10133903331589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-28450.9172831686,-14073.828469574,-18895.0763362083,-16414.4104125636,-24735.5816437343,-155030.734396537,-20143.7567809798,-350885.80885847,-59515.3471078185,-8104.08644948224,-47465.9197924171,-15048.6565923525,-76302.483639436,2.52374338817973,0.835408278363509,1.23721391706578,1.29412038763985,11.2128775488455,9.99402289816472,10.1745107497124,10.5908917038687,10.2545348337345,9.63912224503836,11.1154378417416,10.7720760146678,11.0391452355467,9.45888975582929,10.7901030699068,10.157334742803,11.1006390709561,0.137212389963679,0.144406932022498,0.190820778999478,0.120168193103746,0.18983896849677,0.194467526860535,0.166079779248685,0.162911404389888,0.152122849307599,0.130755873891534,0.1176556752529,0.166338824657099,0.13861045855711,0.179457262570306,0.149769924208522,0.18178068787061,0.199190609483048,0.140010322147479,0.156392025616222,0.193470523110591,0.118843658409357,0.166201831505477,0.112555509596132,0.126722066872753,0.138611409254372,0.10133903331589,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0
-27308.2375049214,-13341.7276724197,-16870.9310635466,-13290.029115153,-14706.4037685884,-145390.156731079,-18731.6882677327,-331950.751733239,-54407.3466752592,-7587.44943280015,-46033.7111252859,-14400.2717401182,-74308.6045264536,2.52374338817973,0.812394397370204,1.2339613857616,1.26515169045537,11.2128775488455,9.99402289816472,10.1745107497124,10.5297325748243,9.70386674560366,9.65251628611749,11.1003727295834,10.7808367550802,11.0117524615356,9.45888975582929,10.7901030699068,10.157334742803,11.1006390709561,0.137212389963679,0.122236273427575,0.192378142566206,0.148670476889688,0.18983896849677,0.179031513330219,0.16614114213327,0.155750777298463,0.167027878205366,0.130755873891534,0.1176556752529,0.16293791572635,0.13861045855711,0.179457262570306,0.15676286191508,0.198926153455217,0.201817111266703,0.148664068899884,0.149220386620221,0.210504092498135,0.117566295800964,0.167866328499344,0.118485274042928,0.126722066872753,0.142081007947123,0.10133903331589,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0
-27125.3692797582,-13100.1982778427,-13673.0914612163,-11594.1373266712,-13427.1800663252,-144799.721987122,-18418.9981558674,-332341.500252985,-54289.5818430885,-7112.81914768661,-45841.7401556538,-14303.9506104209,-72018.626584339,2.52374338817973,0.730279162373088,1.2339613857616,1.26515169045537,11.2128775488455,9.99402289816472,10.0689092906767,10.481555179574,9.62854679003021,9.66334035426856,11.1003727295834,10.7808367550802,11.0117524615356,9.45888975582929,10.7901030699068,10.157334742803,11.1006390709561,0.139898686477372,0.112984846565241,0.192378142566206,0.148670476889688,0.18983896849677,0.179031513330219,0.16614114213327,0.155750777298463,0.167027878205366,0.130755873891534,0.119596087691736,0.16293791572635,0.13861045855711,0.179457262570306,0.175321448178714,0.210539768245299,0.210597568392728,0.152938282569049,0.148599966651111,0.217715784710282,0.117418095469604,0.167866328499344,0.133579543042991,0.126722066872753,0.150057128718747,0.106247894870663,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1
-25233.4007155012,-13017.8803323957,-13535.2555185648,-10940.9316170585,-12903.2855465857,-143704.917214803,-18287.8250818608,-327895.327422066,-52954.6662159802,-7010.56477002566,-44544.9611930459,-13990.3656589667,-64499.2859346221,2.52374338817973,0.703281053408162,1.2339613857616,1.26168503223479,11.1403463626376,9.99402289816472,10.0689092906767,10.481555179574,9.62854679003021,9.66334035426856,11.1003727295834,10.789745598634,11.0117524615356,9.4392539336078,10.7735148545,10.2368687737338,11.1006390709561,0.148577788239826,0.0991559594188324,0.199318958573563,0.148670476889688,0.18983896849677,0.179031513330219,0.157461044655006,0.153263914305396,0.17246455193171,0.130755873891534,0.119596087691736,0.16293791572635,0.13861045855711,0.200396773795517,0.175321448178714,0.210539768245299,0.220898393132039,0.160703078913019,0.147265680216446,0.217715784710282,0.116052337713386,0.171503782817595,0.133579543042991,0.127313904221282,0.150057128718747,0.124503767390705,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1
-25212.3875231552,-12988.5447068902,-11878.272708609,-10926.5924645597,-12901.2029171142,-142821.807233079,-18261.1764206719,-327680.549975105,-51979.9138598372,-7008.86936785215,-42090.2451789413,-13994.9798304485,-64439.5512422482,2.52374338817973,0.691244954094553,1.2339613857616,1.26168503223479,11.1403463626376,9.99402289816472,10.0042489764843,10.481555179574,9.62854679003021,9.66334035426856,11.1003727295834,10.789745598634,11.0117524615356,9.4392539336078,10.7654390587478,10.2368687737338,11.1006390709561,0.148577788239826,0.0991559594188324,0.209098634096461,0.148670476889688,0.18983896849677,0.179031513330219,0.157461044655006,0.151088700492509,0.197429438659322,0.130755873891534,0.119596087691736,0.16293791572635,0.139340161497152,0.200396773795517,0.195808875365971,0.216435789857327,0.220898393132039,0.160703078913019,0.142120926604788,0.217715784710282,0.116052337713386,0.171503782817595,0.133579543042991,0.135076649827554,0.150057128718747,0.124503767390705,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
-21054.2067960839,-11223.6884625301,-9705.34480426345,-8887.61610997243,-9423.62177649258,-117792.877402055,-15529.3979176064,-274537.540723171,-38048.1693584138,-5780.87892451242,-34242.1535167826,-11774.6555824273,-40106.3855149184,2.52097202340698,0.683284775647782,1.2193735725137,1.17491198096321,11.1403463626376,9.99402289816472,10.0042489764843,10.4676042876416,9.62854679003021,9.71536529267276,11.1003727295834,10.789745598634,10.9399627215608,9.33610120764225,10.7256817401081,10.2594598110364,10.954836089351,0.131508258184335,0.0991559594188324,0.209098634096461,0.148670476889688,0.18983896849677,0.174939258379102,0.15203465342948,0.151088700492509,0.197429438659322,0.130755873891534,0.133049488307941,0.138070446450095,0.139340161497152,0.218895467821865,0.177685166492868,0.22695209683964,0.220898393132039,0.206959369276966,0.136406239703422,0.217715784710282,0.11206590311664,0.185480431844604,0.136019081003843,0.135076649827554,0.150057128718747,0.151526071517479,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1
-19736.5348553772,-10557.9466192415,-8150.5979240352,-7873.26427136466,-7078.00774362925,-106844.150650833,-14595.656560666,-249048.176830424,-25379.1159222813,-5302.0877806744,-31107.2153475959,-10923.7664478972,-37918.1501996211,2.52097202340698,0.683284775647782,1.2193735725137,1.13739746951039,11.1667109697555,9.99402289816472,9.91538638927838,10.4676042876416,9.44511887314505,9.73773957415895,11.1003727295834,10.789745598634,10.8248151489448,9.33610120764225,10.6874266671145,10.2652900608837,10.954836089351,0.135468486459843,0.0991559594188324,0.209098634096461,0.164190876715941,0.18983896849677,0.17484100482371,0.15203465342948,0.151088700492509,0.197429438659322,0.126599501267522,0.133049488307941,0.134435652974826,0.150748886089797,0.218895467821865,0.177685166492868,0.22695209683964,0.231799761466815,0.225121592553861,0.136406239703422,0.220518577900482,0.11206590311664,0.226451669285277,0.154213039523452,0.135076649827554,0.157679135092328,0.151526071517479,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0
-17086.8639960573,-9189.04269851891,-5047.41682205367,-6352.17076385191,-6496.25864177761,-93871.9901853006,-12645.5238424667,-212187.311466145,-18681.8287100047,-4674.54194944334,-26253.0888378545,-9568.29532264271,-27713.154938981,2.45589146378706,0.683284775647782,1.21075555669102,1.08669318820776,11.1667109697555,10.0619180285242,9.69207669580123,10.4595737765815,9.44511887314505,9.73773957415895,11.1003727295834,10.8153139238963,10.7634522186471,9.38631931652737,10.6846117021563,10.2652900608837,10.8121535266726,0.135468486459843,0.0991559594188324,0.209098634096461,0.182184968012842,0.18983896849677,0.17484100482371,0.15203465342948,0.14879571930125,0.197429438659322,0.118633184157334,0.144253347708399,0.128830421040601,0.150748886089797,0.223599051301949,0.177685166492868,0.24093970131572,0.243071919964497,0.225121592553861,0.136406239703422,0.239806758190894,0.11206590311664,0.249815409348398,0.167616801152743,0.142942168459938,0.157679135092328,0.152477823930818,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1
-16039.5763014369,-8647.80212945319,-4746.54369584635,-6035.26241393283,-4755.35094719057,-85844.6930654719,-11887.1410451859,-196183.366315535,-16057.8805796761,-4481.10646291715,-25139.722684403,-9017.73199401737,-25959.3451918074,2.41568582077371,0.683284775647782,1.21075555669102,1.06385467566547,11.1667109697555,10.1321424822949,9.68946266530741,10.4595737765815,9.29659547198181,9.76666226703611,11.1235789552876,10.8168869575495,10.7634522186471,9.38067498960525,10.6846117021563,10.3006150881871,10.8121535266726,0.135468486459843,0.0999867224082557,0.250594828376594,0.192043838592033,0.192774049812655,0.17065510506495,0.152842943260318,0.14879571930125,0.204690925611693,0.118633184157334,0.144253347708399,0.1255425396521,0.150748886089797,0.241047056584761,0.179953076287041,0.24093970131572,0.245135617993478,0.26309670219024,0.129745001581775,0.239806758190894,0.11206590311664,0.279825280013296,0.167616801152743,0.144110118273671,0.157679135092328,0.157880580270702,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1
-15920.3582750449,-8631.78382610324,-4261.09464056384,-5324.18903315182,-4008.29227227177,-85149.910131559,-11851.6036233308,-191830.366459016,-13405.9788157287,-4476.40542184081,-22996.2549828777,-8913.92398488768,-22704.1925377172,2.41568582077371,0.664698741694502,1.21075555669102,1.06385467566547,11.2391535144467,10.1321424822949,9.60592563545601,10.4301497575499,9.29659547198181,9.76666226703611,11.1235789552876,10.8403747031272,10.6582786275152,9.38067498960525,10.6226644995906,10.3006150881871,10.731424365412,0.139695612975673,0.0999867224082557,0.262692483309981,0.241831270229268,0.192774049812655,0.14567570759234,0.152842943260318,0.14879571930125,0.215941471733714,0.119794359357145,0.150099502393997,0.1255425396521,0.150748886089797,0.241047056584761,0.179953076287041,0.24093970131572,0.258208106361245,0.323563176004612,0.129745001581775,0.239806758190894,0.105441165893015,0.279825280013296,0.167616801152743,0.144110118273671,0.164461626150004,0.160521449121832,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
-15239.2191211266,-8216.93871924383,-4151.83839235317,-4740.42710874586,-3919.83010306345,-80273.8267361962,-11299.5168352798,-182116.086797334,-10948.560418411,-4270.96866680407,-22310.2570500409,-8402.03150297919,-14581.9648225412,2.41568582077371,0.608652042524586,1.21075555669102,1.04895046244859,11.2381246019516,10.1321424822949,9.60592563545601,10.3625591092432,9.29659547198181,9.76666226703611,11.1580390291959,10.8403747031272,10.6582786275152,9.38067498960525,10.6226644995906,10.3302474551932,10.4602434503368,0.138965970774468,0.120118911842346,0.262692483309981,0.254364028358951,0.192774049812655,0.14567570759234,0.152842943260318,0.14879571930125,0.221100484086036,0.119794359357145,0.150099502393997,0.110898761565069,0.150748886089797,0.241047056584761,0.194058211495167,0.24093970131572,0.258208106361245,0.323563176004612,0.118380187926564,0.239806758190894,0.104090128492208,0.332392458661593,0.191685194935761,0.144110118273671,0.175691674172603,0.160521449121832,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0
-13300.103241114,-7357.09786767777,-3630.32475350282,-4147.08883273689,-3295.11452868244,-72712.6531988957,-9875.47126571146,-158904.556128066,-9322.98753381513,-3904.44017675116,-19273.5256510066,-7402.77108041869,-11450.8134306254,2.37722014551702,0.608652042524586,1.19879720494907,1.01713577068228,11.2381246019516,10.1321424822949,9.60592563545601,10.3625591092432,9.29659547198181,9.76666226703611,11.178760892044,10.865580136815,10.6582786275152,9.38067498960525,10.6128683120371,10.3302474551932,10.4437979090644,0.138965970774468,0.120118911842346,0.315691667970002,0.224008222953893,0.192774049812655,0.14567570759234,0.152842943260318,0.14879571930125,0.221100484086036,0.120945353808352,0.173982820985266,0.105676627527989,0.16268253517066,0.259902646403089,0.202951687602562,0.242916378609474,0.258208106361245,0.361271702046062,0.113295260749021,0.248576505662519,0.0950629142900034,0.34271264824983,0.191685194935761,0.144110118273671,0.185183843224428,0.173807484760382,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1
-12347.8702558971,-6920.29240380956,-3477.68868693226,-3583.70583042356,-3123.17367136468,-66956.8478184663,-9220.98493863492,-142867.450886332,-8587.69969103545,-3716.88008184769,-17034.8500611239,-6918.7659773849,-10808.056555094,2.37722014551702,0.608652042524586,1.19879720494907,0.991988047677864,11.2507602745689,10.1321424822949,9.60592563545601,10.2700244811728,9.29659547198181,9.76666226703611,11.190233803377,10.865580136815,10.6582786275152,9.38067498960525,10.6128683120371,10.3530896240817,10.4437979090644,0.140126703949433,0.115952691273854,0.315691667970002,0.224008222953893,0.212208549283149,0.140902510153829,0.152842943260318,0.142080523959382,0.221100484086036,0.114412543492965,0.184468268410309,0.092746624335049,0.16268253517066,0.259839952014896,0.202951687602562,0.242916378609474,0.258208106361245,0.361271702046062,0.113295260749021,0.248576505662519,0.0911864106930968,0.354011307182471,0.189624503342408,0.153947215166036,0.185183843224428,0.173807484760382,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
-9435.66199053641,-5553.78697114657,-2782.77011418726,-3009.71890330978,-2415.82927599698,-50881.7160962599,-7163.52487419064,-100822.160019967,-6985.1458076344,-3117.58139109625,-12440.6417990334,-5461.07493037648,-7789.7152389459,2.37722014551702,0.55225950973133,1.19879720494907,0.912056484012445,11.2507602745689,10.1450383140287,9.60592563545601,10.2700244811728,9.25793877433613,9.76666226703611,11.209606041919,10.8923979680459,10.6582786275152,9.43557282859808,10.5660687796246,10.3530896240817,10.4437979090644,0.140126703949433,0.115952691273854,0.328962962695188,0.200645400498479,0.315835136389196,0.140902510153829,0.152842943260318,0.142080523959382,0.221100484086036,0.114412543492965,0.20489449176931,0.0983417324209031,0.186026713705491,0.259839952014896,0.204389669750308,0.270755846096401,0.258208106361245,0.380696549741895,0.113295260749021,0.248576505662519,0.0911864106930968,0.354011307182471,0.189624503342408,0.156765216210393,0.205623630422993,0.189805987816569,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1
